ViralOTU	SRR8653090	SRR8653247	SRR8653248	SRR8652861	SRR8653245	SRR8653221	SRR8653084	SRR8653218	SRR8652914	SRR8652969
vOTU_437	1041	0	2	248	86	0	82	418	32	0
vOTU_515	0	0	0	0	0	719	42	0	0	0
vOTU_1231	439	227	205	280	261	34	45	3	23	120
vOTU_1622	0	2	0	0	0	0	0	188	0	1
vOTU_23	0	0	0	0	6889	671	0	0	0	0
vOTU_1734	0	0	0	0	0	0	210	0	0	0
vOTU_618	0	45	227	5	2964	419	693	87	2	6
vOTU_949	0	0	0	1596	0	0	0	10	0	501
vOTU_415	0	0	0	0	0	0	1324	0	0	0
vOTU_98	2	125	0	1	0	37	94	0	13	74590
vOTU_1052	0	5	0	14	0	0	4	360	3	7
vOTU_466	220	1017	76	46	83	290	258	21	905	3460
vOTU_1057	25	13	2	0	0	0	1013	0	0	55
vOTU_1538	0	0	213	0	0	0	0	0	0	0
vOTU_370	0	0	0	0	2	0	1092	0	0	0
vOTU_1131	622	6	1	2	0	10	2	1	29	58
vOTU_383	0	31	285	910	1498	2150	813	99	0	822
vOTU_908	0	0	0	0	0	313	0	0	0	0
vOTU_933	2	39	3	22	2	191	47	21	376	10
vOTU_1302	0	0	0	29	0	12	0	303	0	0
vOTU_207	53	6893	2	5	0	13	31	2	206	93
vOTU_401	90	4	2	950	4	133	0	4911	0	470
vOTU_384	58	118	1	5937	169	17	2263	224	169	1907
vOTU_1552	0	0	170	0	0	0	0	0	0	0
vOTU_448	0	159	0	0	0	783	427	0	0	0
vOTU_1374	171	7	0	2	0	19	891	0	0	398
vOTU_1137	449	3493	7	47	10	41	803	17	7780	1180
vOTU_1432	0	190	0	0	0	117	38	0	0	0
vOTU_723	29	5	31	285	333	58	0	1892	0	623
vOTU_1542	0	0	0	0	142	0	0	0	0	0
vOTU_1485	0	0	6	0	0	171	0	0	0	0
vOTU_1214	0	0	205	0	0	0	0	0	0	0
vOTU_552	0	0	0	0	5	0	1210	0	0	0
vOTU_1692	0	478	0	1	0	0	18	0	0	675
vOTU_946	0	0	307	0	0	0	0	0	0	0
vOTU_1347	0	0	5	0	27	0	267	0	0	0
vOTU_293	89	144	1	11	1	16	3223	3	222	116
